layout,offset_m,offset_mm,targets,mean_error_mm,rmse_error_mm,max_error_mm,mean_transmission_efficiency,min_transmission_efficiency,mean_measured_force_N
offset_050mm,0.05,50.0,841,0.13415381941927756,0.1762419815742596,0.9414944750065884,0.6024043465387177,0.19300766346801007,6.024043465387177
offset_051mm,0.051000000000000004,51.00000000000001,841,0.13941080226977645,0.18232313075117235,1.0256276597779563,0.601938239431753,0.1957813543400757,6.019382394317529
offset_052mm,0.052000000000000005,52.00000000000001,841,0.13649408102792507,0.17874992096916503,0.8101706876146599,0.6015080515596539,0.19860743487922478,6.015080515596539
offset_053mm,0.053000000000000005,53.00000000000001,841,0.1294483788943959,0.16375750996694682,0.8017337966382807,0.6009938838224018,0.2026902192034953,6.009938838224017
offset_054mm,0.054000000000000006,54.00000000000001,841,0.13251504024607558,0.17540464625747781,1.110000364744604,0.6003207545582202,0.20557284614323423,6.003207545582202
offset_055mm,0.05500000000000001,55.00000000000001,841,0.12837672178323453,0.16693033583723296,0.8236930771669216,0.5997309955173082,0.20697592862325456,5.997309955173083
offset_056mm,0.05600000000000001,56.00000000000001,841,0.1248808021440349,0.15797670729698451,0.6490190770416218,0.5990995518223442,0.21212088166702356,5.990995518223443
offset_057mm,0.05700000000000001,57.00000000000001,841,0.12249704707544896,0.1576016351932141,1.2177078965505124,0.5983574904067006,0.21439787207200353,5.983574904067007
offset_058mm,0.05800000000000001,58.00000000000001,841,0.12606362771379934,0.1611125017157985,0.8567987114808665,0.5976806882861005,0.21851410503107305,5.976806882861006
offset_059mm,0.05900000000000001,59.000000000000014,841,0.12334785504295485,0.16015774250531892,1.00876481379845,0.5969318616479767,0.222898325977723,5.969318616479766
offset_060mm,0.06000000000000001,60.000000000000014,841,0.12279196457637531,0.15449778171018416,0.8743589611935718,0.5961035993198804,0.2251959547333417,5.961035993198803
offset_061mm,0.06100000000000001,61.000000000000014,841,0.12007926062496868,0.1502116806012814,0.6318502920084319,0.5952476551535812,0.2278364720843585,5.9524765515358125
offset_062mm,0.06200000000000001,62.000000000000014,841,0.111579218865232,0.13869440336246786,0.6835365776727661,0.5943008484856059,0.2316988227233434,5.94300848485606
offset_063mm,0.06300000000000001,63.000000000000014,841,0.11756060754345328,0.14386494765840127,0.6111532254756255,0.5934803698089545,0.23506411202496133,5.934803698089544
offset_064mm,0.06400000000000002,64.00000000000001,841,0.11393076341600507,0.14318165025420884,0.8105521594972146,0.59243092291631,0.2399592131929508,5.924309229163101
offset_065mm,0.06500000000000002,65.00000000000001,841,0.11378720577395757,0.1396266903604291,0.7688886316064569,0.5913887641096456,0.24265913851247825,5.913887641096456
offset_066mm,0.06600000000000002,66.00000000000001,841,0.11131326116660639,0.1399202597434497,0.6120674888570725,0.5903024035064764,0.24492906227647868,5.903024035064765
offset_067mm,0.06700000000000002,67.00000000000001,841,0.10912196784153257,0.1324030462866019,0.5046826584048865,0.5892108843395523,0.25016747282831636,5.892108843395523
offset_068mm,0.06800000000000002,68.00000000000001,841,0.10893029337313569,0.1308666908729089,0.4127503251468458,0.5879895482596246,0.25281168849920765,5.879895482596246
offset_069mm,0.06900000000000002,69.00000000000001,841,0.10930507928450356,0.1329275315110516,0.5424499401522858,0.586783346509243,0.2568203518531773,5.867833465092431
offset_070mm,0.07000000000000002,70.00000000000001,841,0.11082675038106737,0.13482407400060362,0.5169130703950472,0.5855865136055329,0.2598336022716506,5.855865136055329
offset_071mm,0.07100000000000002,71.00000000000003,841,0.10745401338558082,0.12923869575342356,0.5818648485437489,0.5842919536806628,0.2639339445763548,5.842919536806628
offset_072mm,0.07200000000000002,72.00000000000003,841,0.10755966783683894,0.12884723252805416,0.5558859703264252,0.5829027779363878,0.2697547696312589,5.829027779363878
offset_073mm,0.07300000000000002,73.00000000000003,841,0.1033323034800986,0.12447536376831991,0.4774814183233796,0.5814696258373849,0.27222346820429494,5.81469625837385
offset_074mm,0.07400000000000002,74.00000000000003,841,0.10709176685711512,0.1268669991353513,0.5276046433163073,0.5800837001306021,0.2761943576688521,5.800837001306021
offset_075mm,0.07500000000000002,75.00000000000003,841,0.10835109829927525,0.13157866440659227,0.604619431137628,0.5786111592400404,0.2771637342736212,5.786111592400404
offset_076mm,0.07600000000000003,76.00000000000003,841,0.10738791391355021,0.12872436602853443,0.5631494066065019,0.5770581155453343,0.2834210097466232,5.770581155453343
offset_077mm,0.07700000000000003,77.00000000000003,841,0.10428816007656978,0.12452752052726827,0.617036912263598,0.5754692421761133,0.28771752147228663,5.754692421761132
offset_078mm,0.07800000000000003,78.00000000000003,841,0.10194894191315827,0.1196545736875873,0.542198919337497,0.5737754921021073,0.29188160509650146,5.7377549210210725
offset_079mm,0.07900000000000003,79.00000000000003,841,0.10144272760079981,0.12178918292281112,0.4280735169471259,0.5720560468535819,0.29356249965941517,5.72056046853582
offset_080mm,0.08000000000000003,80.00000000000003,841,0.09995785821597312,0.11997241835078706,0.46113116242608543,0.5703263785170289,0.2974823721084449,5.70326378517029
offset_081mm,0.08100000000000003,81.00000000000003,841,0.10044606753303081,0.11976475419614377,0.463096955898159,0.5684607540589469,0.3018426785772074,5.684607540589469
offset_082mm,0.08200000000000003,82.00000000000003,841,0.10216772899007709,0.11969610029241252,0.34656889701604626,0.5666313561897608,0.3046120603021131,5.666313561897607
offset_083mm,0.08300000000000003,83.00000000000003,841,0.10281963004267082,0.12141256942817139,0.39560991113946675,0.5648267471116051,0.3084054888746129,5.648267471116051
offset_084mm,0.08400000000000003,84.00000000000003,841,0.10030696891572127,0.11921919812204408,0.4274710459627055,0.5628132567076263,0.31266070219825604,5.628132567076262
offset_085mm,0.08500000000000003,85.00000000000003,841,0.10174169260973574,0.1192402329374713,0.43181190781982426,0.5608412985628429,0.3163135429301932,5.60841298562843
offset_086mm,0.08600000000000003,86.00000000000003,841,0.09955026075136653,0.11598124863157613,0.3574266835286995,0.5588221843249099,0.31956810968537863,5.5882218432491
offset_087mm,0.08700000000000004,87.00000000000004,841,0.10073020195535082,0.1194248825352955,0.4842659428436501,0.5567619900454722,0.323407042436152,5.567619900454722
offset_088mm,0.08800000000000004,88.00000000000004,841,0.09834158896298494,0.1164881649953308,0.4646407897161915,0.5545627504618077,0.3274176070055061,5.545627504618077
offset_089mm,0.08900000000000004,89.00000000000004,841,0.10220587613461253,0.12086573371624725,0.42755661536576806,0.5524811685034331,0.3317651952110086,5.52481168503433
offset_090mm,0.09000000000000004,90.00000000000004,841,0.0986781156171056,0.11768374182325449,0.3599979521530253,0.5502171928258734,0.33563687514642226,5.502171928258735
offset_091mm,0.09100000000000004,91.00000000000004,841,0.10273759002397684,0.12182451864181115,0.3982301647216646,0.5479764308818246,0.3373077146112837,5.479764308818246
offset_092mm,0.09200000000000004,92.00000000000004,841,0.09899730534300952,0.11922098579750716,0.48192746118985375,0.5456334255465416,0.3426899621154461,5.456334255465415
offset_093mm,0.09300000000000004,93.00000000000004,841,0.09832114780558802,0.1179631842516734,0.46831821390002765,0.5432593362779626,0.34448312401904796,5.432593362779626
offset_094mm,0.09400000000000004,94.00000000000004,841,0.09963826588415561,0.11881953244201868,0.36926933320711963,0.5408279645204321,0.34766843472672154,5.408279645204321
offset_095mm,0.09500000000000004,95.00000000000004,841,0.10058403363627562,0.1195632139795638,0.4375942087711309,0.5384472518864758,0.35151963051470636,5.384472518864756
offset_096mm,0.09600000000000004,96.00000000000004,841,0.10345772554975856,0.12475799836680607,0.5195991492952635,0.5358990691659234,0.35510067174396015,5.358990691659234
offset_097mm,0.09700000000000004,97.00000000000004,841,0.10359666569992063,0.12388816801568324,0.4071506705497273,0.5333441573588851,0.35724805969472356,5.333441573588851
offset_098mm,0.09800000000000005,98.00000000000004,841,0.10417809230964278,0.12696453899366578,0.44676205438360583,0.5307807926056213,0.3620603274740971,5.3078079260562125
offset_099mm,0.09900000000000005,99.00000000000004,841,0.10096661342339706,0.12131078500800982,0.3819870414311462,0.5282365909525987,0.3633593104425948,5.2823659095259865
offset_100mm,0.10000000000000005,100.00000000000004,841,0.10655479935719768,0.12858018424911116,0.4935394856626787,0.5254445955506127,0.3688494895854507,5.254445955506128
offset_101mm,0.10100000000000005,101.00000000000004,841,0.10037517894408439,0.12027048578520481,0.4795967986882511,0.5229279258481463,0.3722852604072412,5.229279258481463
offset_102mm,0.10200000000000005,102.00000000000004,841,0.10319313821818404,0.12561907656016166,0.46403900014348803,0.5201354647329285,0.37377602410716715,5.201354647329285
offset_103mm,0.10300000000000005,103.00000000000006,841,0.10251903533651009,0.12278457744161007,0.4476666026549817,0.5173253674394825,0.37784057548759026,5.173253674394826
offset_104mm,0.10400000000000005,104.00000000000006,841,0.10920278584841411,0.13452723436848696,0.4774312498164399,0.5146177291164155,0.38031191255765706,5.146177291164155
offset_105mm,0.10500000000000005,105.00000000000006,841,0.10623535913628257,0.1301672400995667,0.46417893181109743,0.5117030645899387,0.3821038423308327,5.117030645899387
offset_106mm,0.10600000000000005,106.00000000000006,841,0.10931323067093088,0.13348533961437975,0.4445788308670491,0.5088959598514281,0.3860769633408895,5.088959598514282
offset_107mm,0.10700000000000005,107.00000000000006,841,0.10595001538882784,0.12996311410689632,0.4340800280606595,0.5059829179193627,0.38907067945039453,5.059829179193627
offset_108mm,0.10800000000000005,108.00000000000006,841,0.10811675567412389,0.13172449248162643,0.5602161452889681,0.5030648340410243,0.389713755556219,5.0306483404102424
offset_109mm,0.10900000000000006,109.00000000000006,841,0.10671975022780815,0.13077855590944476,0.5374689066990394,0.5000276223892849,0.39518627747591073,5.00027622389285
offset_110mm,0.11000000000000006,110.00000000000006,841,0.10579439487358153,0.13074550739235977,0.41736550758983454,0.4970527047024179,0.39735383930236673,4.970527047024177
offset_111mm,0.11100000000000006,111.00000000000006,841,0.1164010217950221,0.1436471359918186,0.617083852035371,0.4941456644469709,0.3977288935182483,4.941456644469708
offset_112mm,0.11200000000000006,112.00000000000006,841,0.11257805379895325,0.1384298791999569,0.5824734492237776,0.49096207228274097,0.3952798924366504,4.90962072282741
offset_113mm,0.11300000000000006,113.00000000000006,841,0.11173922261249396,0.14034929431175508,0.7481799188722827,0.487945775553396,0.39307017161311136,4.87945775553396
offset_114mm,0.11400000000000006,114.00000000000006,841,0.11430428775745069,0.14005892563777445,0.5979769625377062,0.48482520108692384,0.38943034245598984,4.8482520108692375
offset_115mm,0.11500000000000006,115.00000000000006,841,0.11275805683045247,0.13848430025784414,0.5057653879017425,0.48171445653592293,0.38542142880113517,4.8171445653592295
offset_116mm,0.11600000000000006,116.00000000000006,841,0.12138094019837553,0.1531905646835592,0.6171170256761357,0.4785689245123021,0.3829568419036781,4.78568924512302
offset_117mm,0.11700000000000006,117.00000000000006,841,0.1166978363029464,0.1450531987414283,0.6401627381942655,0.4754485378862386,0.3788656544334973,4.754485378862386
offset_118mm,0.11800000000000006,118.00000000000006,841,0.11424923792319433,0.14287377211449523,0.5690677157889661,0.47219439498326915,0.37539728908799525,4.721943949832691
offset_119mm,0.11900000000000006,119.00000000000007,841,0.11785536110869847,0.14519246504235228,0.46666265175301763,0.46900410615634064,0.3731365972520001,4.690041061563406
offset_120mm,0.12000000000000006,120.00000000000007,841,0.12236123106247773,0.15513077126928781,0.6774672260550529,0.46581881127544766,0.3700261812693756,4.658188112754476
offset_121mm,0.12100000000000007,121.00000000000007,841,0.12555822740281872,0.15610763548153656,0.5551075615530509,0.4626134171726606,0.36447240255089947,4.626134171726607
offset_122mm,0.12200000000000007,122.00000000000007,841,0.11694206836702821,0.14782043153060007,0.6175138360704879,0.4593372344842958,0.3629566541381719,4.593372344842958
offset_123mm,0.12300000000000007,123.00000000000007,841,0.12343823630481786,0.1546601641152295,0.7767855973987118,0.4561061130151322,0.35883503773818326,4.561061130151322
offset_124mm,0.12400000000000007,124.00000000000007,841,0.12642849213708973,0.15973351372151876,0.6123933210757224,0.4527907426792467,0.35555659523107713,4.527907426792467
offset_125mm,0.12500000000000006,125.00000000000006,841,0.1258514804254175,0.16002750602032714,0.8196438768808965,0.44960740527393456,0.35194607206213246,4.4960740527393455
offset_126mm,0.12600000000000006,126.00000000000006,841,0.12899029773560353,0.1605882591615675,0.6347329570744185,0.4462599102642526,0.348958051928728,4.4625991026425265
offset_127mm,0.12700000000000006,127.00000000000006,841,0.13314822811548285,0.16607920391383318,0.5598284284297202,0.44299307687823825,0.3455700993592496,4.429930768782383
offset_128mm,0.12800000000000006,128.00000000000006,841,0.13515596423342774,0.17107217486261866,0.6501430038583412,0.4397626137765726,0.3416139969346149,4.397626137765726
offset_129mm,0.12900000000000006,129.00000000000006,841,0.13301212284605932,0.16906831462029068,0.8033371539484517,0.43641022234224724,0.33769576456554967,4.3641022234224724
offset_130mm,0.13000000000000006,130.00000000000006,841,0.1360127732673657,0.17243296191038385,0.7305211709160434,0.4331639046024895,0.33457551006535213,4.331639046024895
offset_131mm,0.13100000000000006,131.00000000000006,841,0.1348756726023807,0.1689497590279736,0.60951480233726,0.42978850961272547,0.3304590672400242,4.297885096127255
offset_132mm,0.13200000000000006,132.00000000000006,841,0.13811981170540616,0.17547321344531178,0.7086400335552442,0.426483942450555,0.326676054549479,4.26483942450555
offset_133mm,0.13300000000000006,133.00000000000006,841,0.1393202707273359,0.1790215705044999,0.8430073057575843,0.4231871752919546,0.322217707347078,4.231871752919545
offset_134mm,0.13400000000000006,134.00000000000006,841,0.13687452887891038,0.17360188691243186,0.6530611863014599,0.41984729358723427,0.3200967237730181,4.198472935872343
offset_135mm,0.13500000000000006,135.00000000000006,841,0.14763153429412276,0.18670634980752526,0.687238404792098,0.41655680902662695,0.31533195623169014,4.1655680902662695
offset_136mm,0.13600000000000007,136.00000000000006,841,0.14263301299871792,0.18112900758307932,0.7033888767677638,0.4131947170888847,0.3122098104454847,4.131947170888846
offset_137mm,0.13700000000000007,137.00000000000006,841,0.14975070283227107,0.1925750898960016,0.8295297824421711,0.40992124163103266,0.30722833811335276,4.099212416310326
offset_138mm,0.13800000000000007,138.00000000000006,841,0.14614526999782204,0.18845345476156117,0.8534207129199061,0.40664408549611375,0.3050340009510181,4.066440854961137
offset_139mm,0.13900000000000007,139.00000000000006,841,0.15452137047992853,0.19572451392845397,0.8173453582781416,0.40339428417249246,0.30220619982134045,4.033942841724925
offset_140mm,0.14000000000000007,140.00000000000006,841,0.15016466908790652,0.18870981818682034,0.9388944155782389,0.4000722817159132,0.29735190840035736,4.000722817159132
offset_141mm,0.14100000000000007,141.00000000000006,841,0.15685615369038333,0.20309730556665198,0.8540267675824741,0.396740336999579,0.2946823067628318,3.9674033699957905
offset_142mm,0.14200000000000007,142.00000000000006,841,0.1587355520136099,0.2030976921151105,1.017689734928534,0.393549008416068,0.29029634640770785,3.9354900841606804
offset_143mm,0.14300000000000007,143.00000000000009,841,0.16033917012024548,0.20316080655912547,0.7321964025902228,0.3903595125384346,0.28722036206444185,3.9035951253843453
offset_144mm,0.14400000000000007,144.00000000000009,841,0.16590453148539994,0.21313174812964997,0.8497730775892228,0.3871038617990147,0.28351178338181127,3.8710386179901466
offset_145mm,0.14500000000000007,145.00000000000009,841,0.16602963449884484,0.21172938846860234,0.6939257030086622,0.3838198898307693,0.28047467543036125,3.838198898307693
offset_146mm,0.14600000000000007,146.00000000000009,841,0.16552853460571965,0.2111875421252542,1.036891263099437,0.3806548938017042,0.2746372015234575,3.806548938017042
offset_147mm,0.14700000000000008,147.00000000000009,841,0.16934601647254263,0.21795080030311917,0.8819636565172005,0.37743079727315343,0.27207654165211775,3.774307972731534
offset_148mm,0.14800000000000008,148.00000000000009,841,0.1713352577917025,0.22013624357585132,1.1665564356505331,0.374274433394023,0.26944496720473904,3.7427443339402298
offset_149mm,0.14900000000000008,149.00000000000009,841,0.1735950872992201,0.2250708109950874,0.9498390710788893,0.3710899328899901,0.2655629688151381,3.7108993288999006
offset_150mm,0.15000000000000008,150.00000000000009,841,0.1715173656148864,0.22285527700003463,0.9157703842697065,0.3679784796711962,0.262543392193761,3.679784796711963
